athlete_id,display_name,team_id,required_image_type,reason,recommended_path
connecticut_sun_olivia_nelson_ododa_headshot,Olivia Nelson-Ododa headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_olivia_nelson_ododa_headshot/headshot.png
connecticut_sun_olivia_nelson_ododa_headshot,Olivia Nelson-Ododa headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_olivia_nelson_ododa_headshot/cutout.png
connecticut_sun_pascal_angillis_headshot,Pascal Angillis headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_pascal_angillis_headshot/headshot.png
connecticut_sun_pascal_angillis_headshot,Pascal Angillis headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_pascal_angillis_headshot/cutout.png
connecticut_sun_rachid_meziane_headshot,Rachid Meziane headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_rachid_meziane_headshot/headshot.png
connecticut_sun_rachid_meziane_headshot,Rachid Meziane headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_rachid_meziane_headshot/cutout.png
connecticut_sun_raegan_beers_headshot,Raegan Beers headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_raegan_beers_headshot/headshot.png
connecticut_sun_raegan_beers_headshot,Raegan Beers headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_raegan_beers_headshot/cutout.png
connecticut_sun_roneeka_hodges_headshot,Roneeka Hodges headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_roneeka_hodges_headshot/headshot.png
connecticut_sun_roneeka_hodges_headshot,Roneeka Hodges headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_roneeka_hodges_headshot/cutout.png
connecticut_sun_saniya_rivers_headshot,Saniya Rivers headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_saniya_rivers_headshot/headshot.png
connecticut_sun_saniya_rivers_headshot,Saniya Rivers headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_saniya_rivers_headshot/cutout.png
connecticut_sun_terri_acosta_headshot,Terri Acosta headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_terri_acosta_headshot/headshot.png
connecticut_sun_terri_acosta_headshot,Terri Acosta headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_terri_acosta_headshot/cutout.png
dallas_wings_aiyana_williams_headshot,Aiyana Williams headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_aiyana_williams_headshot/headshot.png
dallas_wings_aiyana_williams_headshot,Aiyana Williams headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_aiyana_williams_headshot/cutout.png
dallas_wings_alanna_smith_headshot,Alanna Smith headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_alanna_smith_headshot/headshot.png
dallas_wings_alanna_smith_headshot,Alanna Smith headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_alanna_smith_headshot/cutout.png
dallas_wings_allison_russell_headshot,Allison Russell headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_allison_russell_headshot/headshot.png
dallas_wings_allison_russell_headshot,Allison Russell headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_allison_russell_headshot/cutout.png
dallas_wings_alysha_clark_headshot,Alysha Clark headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_alysha_clark_headshot/headshot.png
dallas_wings_alysha_clark_headshot,Alysha Clark headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_alysha_clark_headshot/cutout.png
dallas_wings_arike_ogunbowale_headshot,Arike Ogunbowale headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_arike_ogunbowale_headshot/headshot.png
dallas_wings_arike_ogunbowale_headshot,Arike Ogunbowale headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_arike_ogunbowale_headshot/cutout.png
dallas_wings_awak_kuier_headshot,Awak Kuier headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_awak_kuier_headshot/headshot.png
dallas_wings_awak_kuier_headshot,Awak Kuier headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_awak_kuier_headshot/cutout.png
dallas_wings_aziaha_james_headshot,Aziaha James headshot,dallas_wings,headshot,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_aziaha_james_headshot/headshot.png
dallas_wings_aziaha_james_headshot,Aziaha James headshot,dallas_wings,cutout,approved athlete image missing,assets/leagues/wnba/athletes/dallas_wings_aziaha_james_headshot/cutout.png
