name_variant,entity_id,type
courtney williams,minnesota_lynx_courtney_williams,auto_alias
Juhasz,minnesota_lynx_dorka_juhasz,auto_alias
D. Juhasz,minnesota_lynx_dorka_juhasz,auto_alias
Dorka Juhasz,minnesota_lynx_dorka_juhasz,canonical
E. Hamzova,minnesota_lynx_eliska_hamzova,auto_alias
Eliska Hamzova,minnesota_lynx_eliska_hamzova,canonical
Hamzova,minnesota_lynx_eliska_hamzova,auto_alias
Emma Cechova,minnesota_lynx_emma_cechova,canonical
Cechova,minnesota_lynx_emma_cechova,auto_alias
E. Cechova,minnesota_lynx_emma_cechova,auto_alias
Kayla McBride,minnesota_lynx_kayla_mcbride,canonical
K. McBride,minnesota_lynx_kayla_mcbride,auto_alias
McBride,minnesota_lynx_kayla_mcbride,auto_alias
L. King,minnesota_lynx_liatu_king,auto_alias
Liatu King,minnesota_lynx_liatu_king,canonical
King,minnesota_lynx_liatu_king,auto_alias
Caldwell,minnesota_lynx_maya_caldwell,auto_alias
maya caldwell,minnesota_lynx_maya_caldwell,auto_alias
M. Caldwell,minnesota_lynx_maya_caldwell,auto_alias
napheesa collier,minnesota_lynx_napheesa_collier,auto_alias
N. Collier,minnesota_lynx_napheesa_collier,auto_alias
Collier,minnesota_lynx_napheesa_collier,auto_alias
natasha howard,minnesota_lynx_natasha_howard,auto_alias
N. Howard,minnesota_lynx_natasha_howard,auto_alias
Howard,minnesota_lynx_natasha_howard,auto_alias
nia coffey,minnesota_lynx_nia_coffey,auto_alias
Coffey,minnesota_lynx_nia_coffey,auto_alias
N. Coffey,minnesota_lynx_nia_coffey,auto_alias
Miles,minnesota_lynx_olivia_miles,auto_alias
olivia miles,minnesota_lynx_olivia_miles,auto_alias
O. Miles,minnesota_lynx_olivia_miles,auto_alias
McCowan,minnesota_lynx_teaira_mccowan,auto_alias
T. McCowan,minnesota_lynx_teaira_mccowan,auto_alias
Teaira McCowan,minnesota_lynx_teaira_mccowan,canonical
Anneli Maley,new_york_liberty_anneli_maley,canonical
A. Maley,new_york_liberty_anneli_maley,auto_alias
Maley,new_york_liberty_anneli_maley,auto_alias
B. Laney-Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
Laney-Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
Betnijah Laney-Hamilton,new_york_liberty_betnijah_laney_hamilton,canonical
Betnijah Laney Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
B. Stewart,new_york_liberty_breanna_stewart,auto_alias
breanna stewart,new_york_liberty_breanna_stewart,auto_alias
Stewart,new_york_liberty_breanna_stewart,auto_alias
han xu,new_york_liberty_han_xu,auto_alias
H. Xu,new_york_liberty_han_xu,auto_alias
Xu,new_york_liberty_han_xu,auto_alias
jonquel jones,new_york_liberty_jonquel_jones,auto_alias
J. Jones,new_york_liberty_jonquel_jones,auto_alias
Jones,new_york_liberty_jonquel_jones,auto_alias
L. Fiebich,new_york_liberty_leonie_fiebich,auto_alias
Leonie Fiebich,new_york_liberty_leonie_fiebich,canonical
Fiebich,new_york_liberty_leonie_fiebich,auto_alias
Fauthoux,new_york_liberty_marine_fauthoux,auto_alias
Marine Fauthoux,new_york_liberty_marine_fauthoux,canonical
M. Fauthoux,new_york_liberty_marine_fauthoux,auto_alias
marine johannes,new_york_liberty_marine_johannes,auto_alias
M. Johannes,new_york_liberty_marine_johannes,auto_alias
Johannes,new_york_liberty_marine_johannes,auto_alias
pauline astier,new_york_liberty_pauline_astier,auto_alias
Astier,new_york_liberty_pauline_astier,auto_alias
P. Astier,new_york_liberty_pauline_astier,auto_alias
Raquel Carrera,new_york_liberty_raquel_carrera,canonical
Carrera,new_york_liberty_raquel_carrera,auto_alias
R. Carrera,new_york_liberty_raquel_carrera,auto_alias
Rebekah Gardner,new_york_liberty_rebekah_gardner,canonical
R. Gardner,new_york_liberty_rebekah_gardner,auto_alias
Gardner,new_york_liberty_rebekah_gardner,auto_alias
Ionescu,new_york_liberty_sabrina_ionescu,auto_alias
sabrina ionescu,new_york_liberty_sabrina_ionescu,auto_alias
S. Ionescu,new_york_liberty_sabrina_ionescu,auto_alias
Sabally,new_york_liberty_satou_sabally,auto_alias
S. Sabally,new_york_liberty_satou_sabally,auto_alias
Satou Sabally,new_york_liberty_satou_sabally,canonical
alyssa thomas,phoenix_mercury_alyssa_thomas,auto_alias
Thomas,phoenix_mercury_alyssa_thomas,auto_alias
A. Thomas,phoenix_mercury_alyssa_thomas,auto_alias
Jovana Nogic,phoenix_mercury_jovana_nogic,canonical
Nogic,phoenix_mercury_jovana_nogic,auto_alias
J. Nogic,phoenix_mercury_jovana_nogic,auto_alias
K. Copper,phoenix_mercury_kahleah_copper,auto_alias
Kahleah Copper,phoenix_mercury_kahleah_copper,canonical
Copper,phoenix_mercury_kahleah_copper,auto_alias
K. Williams,phoenix_mercury_kiana_williams,auto_alias
Williams,phoenix_mercury_kiana_williams,auto_alias
Kiana Williams,phoenix_mercury_kiana_williams,canonical
kyara linskens,phoenix_mercury_kyara_linskens,auto_alias
Linskens,phoenix_mercury_kyara_linskens,auto_alias
K. Linskens,phoenix_mercury_kyara_linskens,auto_alias
Lexi Held,phoenix_mercury_lexi_held,canonical
L. Held,phoenix_mercury_lexi_held,auto_alias
Held,phoenix_mercury_lexi_held,auto_alias
M. Suarez,phoenix_mercury_marta_suarez,auto_alias
Marta Suarez,phoenix_mercury_marta_suarez,canonical
Suarez,phoenix_mercury_marta_suarez,auto_alias
M. Makani,phoenix_mercury_monique_akoa_makani,auto_alias
Makani,phoenix_mercury_monique_akoa_makani,auto_alias
monique akoa makani,phoenix_mercury_monique_akoa_makani,auto_alias
N. Mack,phoenix_mercury_natasha_mack,auto_alias
Mack,phoenix_mercury_natasha_mack,auto_alias
Natasha Mack,phoenix_mercury_natasha_mack,canonical
Quionche Carter,phoenix_mercury_quionche_carter,canonical
Carter,phoenix_mercury_quionche_carter,auto_alias
Q. Carter,phoenix_mercury_quionche_carter,auto_alias
Whitcomb,phoenix_mercury_sami_whitcomb,auto_alias
Sami Whitcomb,phoenix_mercury_sami_whitcomb,canonical
S. Whitcomb,phoenix_mercury_sami_whitcomb,auto_alias
valeriane ayayi,phoenix_mercury_valeriane_ayayi,auto_alias
Ayayi,phoenix_mercury_valeriane_ayayi,auto_alias
V. Ayayi,phoenix_mercury_valeriane_ayayi,auto_alias
B. Carleton,portland_fire_bridget_carleton,auto_alias
bridget carleton,portland_fire_bridget_carleton,auto_alias
Carleton,portland_fire_bridget_carleton,auto_alias
C. Leite,portland_fire_carla_leite,auto_alias
carla leite,portland_fire_carla_leite,auto_alias
Leite,portland_fire_carla_leite,auto_alias
Engstler,portland_fire_emily_engstler,auto_alias
E. Engstler,portland_fire_emily_engstler,auto_alias
emily engstler,portland_fire_emily_engstler,auto_alias
frieda buhner,portland_fire_frieda_buhner,auto_alias
F. Buhner,portland_fire_frieda_buhner,auto_alias
Buhner,portland_fire_frieda_buhner,auto_alias
Winterburn,portland_fire_holly_winterburn,auto_alias
Holly Winterburn,portland_fire_holly_winterburn,canonical
H. Winterburn,portland_fire_holly_winterburn,auto_alias
J. Harrison,portland_fire_jordan_harrison,auto_alias
Harrison,portland_fire_jordan_harrison,auto_alias
Jordan Harrison,portland_fire_jordan_harrison,canonical
karlie samuelson,portland_fire_karlie_samuelson,auto_alias
K. Samuelson,portland_fire_karlie_samuelson,auto_alias
Samuelson,portland_fire_karlie_samuelson,auto_alias
Luisa Geiselsoder,portland_fire_luisa_geiselsoder,canonical
Geiselsoder,portland_fire_luisa_geiselsoder,auto_alias
L. Geiselsoder,portland_fire_luisa_geiselsoder,auto_alias
Megan Gustafson,portland_fire_megan_gustafson,canonical
Gustafson,portland_fire_megan_gustafson,auto_alias
M. Gustafson,portland_fire_megan_gustafson,auto_alias
nyadiew puoch,portland_fire_nyadiew_puoch,auto_alias
Puoch,portland_fire_nyadiew_puoch,auto_alias
