scope_id,league_id,league_name,entity_type,entity_id,display_name,country,asset_slot,local_logo_path,logo_image_path,logo_file_exists,current_source_url,official_source_candidate,current_approval_status,manual_review_status,operator_action,allowed_decisions,human_intake_file,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
europe_top_flight,wsl_england,Barclays Women's Super League,team,manchester_city_women,Manchester City Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_city_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_city_women/logo.png,false,https://www.mancity.com/teams/mcwfc,https://www.mancity.com/teams/mcwfc,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,manchester_united_women,Manchester United Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_united_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_united_women/logo.png,false,https://www.manutd.com/en/teams/women,https://www.manutd.com/en/teams/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,tottenham_hotspur_women,Tottenham Hotspur Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/tottenham_hotspur_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/tottenham_hotspur_women/logo.png,false,https://www.tottenhamhotspur.com/teams/women/,https://www.tottenhamhotspur.com/teams/women/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,west_ham_united_women,West Ham United Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/west_ham_united_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/west_ham_united_women/logo.png,false,https://www.whufc.com/teams/women,https://www.whufc.com/teams/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,alhama_cf_elpozo,Alhama CF ElPozo,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/alhama_cf_elpozo/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/alhama_cf_elpozo/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,athletic_club,Athletic Club,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/athletic_club/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/athletic_club/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,atletico_de_madrid,Atlético de Madrid,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/atletico_de_madrid/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/atletico_de_madrid/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,costa_adeje_tenerife,Costa Adeje Tenerife,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/costa_adeje_tenerife/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/costa_adeje_tenerife/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,deportivo_abanca,Deportivo Abanca,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/deportivo_abanca/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/deportivo_abanca/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,team,dux_logrono,DUX Logroño,Spain,primary_logo,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/dux_logrono/logo.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/teams/dux_logrono/logo.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
